,vehicles,vehicle_quantities,vehicle_costs,vehicle_ranges,vehicle_speeds,total_requests,completed,dropped,impossible,pax_volume,average_wait,max_wait,average_duration,average_distance,availability,pax_max,utility,fleet_cost
0,"['B1, E1, G1, K1']",[40],[3200.0],[13.869625520110958],[3.043478260869565],1790,398,184,1208,398,9.222457350648142,19.998642281212717,31.793533453475188,1.5112661896690314,0.0804469273743016,29,0.3463773289345014,128000.0
7,"['B1, E1, G1, K2']",[40],[3300.0],[13.908205841446453],[4.40251572327044],1790,442,140,1208,442,5.65295873519321,19.936847232126095,22.675998318755273,1.5171067948772217,0.1536312849162011,36,0.4242863989363453,132000.0
28,"['B1, E1, G2, K2']",[40],[3500.0],[13.881177123820098],[4.364089775561097],1790,516,66,1208,516,4.220136166260583,19.95036272069804,22.94135250129067,1.5231657056217236,0.1743016759776536,36,0.4457649424125013,140000.0
14,"['B1, E1, G1, K3']",[40],[3500.0],[13.793103448275861],[12.727272727272727],1790,507,75,1208,507,1.6181836132174483,19.936363839800144,9.158728075979688,1.5185180767229642,0.2402234636871508,56,0.4938122232755266,140000.0
35,"['B1, E1, G2, K3']",[40],[3700.0],[13.766519823788546],[12.620192307692307],1790,582,0,1208,582,0.7909647923990254,13.448812836449626,9.21527132150783,1.5176351938267665,0.2865921787709497,57,0.5142996679193408,148000.0
36,"['B1, E1, G2, K3']",[50],[3700.0],[13.766519823788546],[12.620192307692307],1790,582,0,1208,582,0.0032422542815233,0.5715692335461497,9.21527132150783,1.5176351938267665,0.3251396648044692,59,0.529693568311132,185000.0
37,"['B1, E1, G2, K3']",[60],[3700.0],[13.766519823788546],[12.620192307692307],1790,582,0,1208,582,0.0,0.0,9.21527132150783,1.5176351938267665,0.3251396648044692,59,0.5297049162011174,222000.0
161,"['B3, E2, G2, K3']",[40],[6100.0],[28.89060092449923],[6.809338521400779],1790,640,115,1035,784,1.5478590999167423,19.91658069602728,16.172300195679494,1.6083998276549365,0.3094972067039106,66,0.5429967948262691,244000.0
182,"['B3, E3, G1, K3']",[40],[7000.0],[57.19733079122974],[6.58307210031348],1790,658,97,1035,795,0.7353251204227939,15.87081984595315,16.84954647603464,1.6292605851448665,0.3206703910614525,70,0.5552939598438834,280000.0
203,"['B3, E3, G2, K3']",[40],[7200.0],[57.12109672505713],[6.554307116104869],1790,694,61,1035,841,1.2560892223177786,19.78358950560441,17.026382926400917,1.6414588090637705,0.3223463687150838,70,0.5566502799006587,288000.0
162,"['B3, E2, G2, K3']",[50],[6100.0],[28.89060092449923],[6.809338521400779],1790,682,73,1035,829,1.0923230264276684,19.97221012536464,16.161706130707316,1.6071975180763811,0.3441340782122905,70,0.5619503889605758,305000.0
183,"['B3, E3, G1, K3']",[50],[7000.0],[57.19733079122974],[6.58307210031348],1790,754,1,1035,918,0.0103963707355589,1.6199514347817612,16.83004932596459,1.6271213994005038,0.4189944134078212,79,0.6032922160543809,350000.0
123,"['B3, E1, G2, K3']",[80],[5200.0],[9.742790335151987],[7.085020242914981],1790,745,0,1045,908,0.0,0.0,14.885482607933715,1.5215650852823217,0.4162011173184357,80,0.6035302793296089,416000.0
184,"['B3, E3, G1, K3']",[60],[7000.0],[57.19733079122974],[6.58307210031348],1790,755,0,1035,919,0.0,0.0,16.95584625477608,1.6409235702732374,0.4217877094972067,79,0.6040869273743017,420000.0
0,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[40, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.1182364805232853,6.591583200317359,8.727945152210815,1.6409235702732374,0.4083798882681564,91,0.6183211443852077,453600.0
377,"['B1, E1, G2, K3', 'C1, P1, G1, M1, A3']","[50, 8]","[3700.0, 38200]","[13.766519823788546, 295.68302779420463]","[12.620192307692307, 21.52521525215252]",1790,755,0,1035,919,0.0,0.0,8.835970617837331,1.6409235702732374,0.4217877094972067,91,0.6220869273743017,490600.0
120,"['B1, E1, G2, K3', 'C2, P1, G1, M1, A3']","[40, 8]","[3700.0, 43200]","[13.766519823788546, 287.1912693854107]","[12.620192307692307, 17.71255060728745]",1790,1163,304,323,2476,6.4836007743051,19.999461681685844,8.35688572391327,1.57015816921425,0.3731843575418994,141,0.7620256785452035,493600.0
136,"['B1, E1, G2, K3', 'C2, P1, G2, M1, A3']","[40, 8]","[3700.0, 44700.0]","[13.766519823788546, 287.05936387644965]","[12.620192307692307, 17.705382436260624]",1790,1167,300,323,2483,6.408485835608742,19.98923291589392,8.323717699415484,1.5610914623334249,0.3737430167597765,141,0.7632169524914216,505600.0
489,"['B1, E1, G2, K3', 'C2, P1, G1, M1, A3']","[50, 8]","[3700.0, 43200]","[13.766519823788546, 287.1912693854107]","[12.620192307692307, 17.71255060728745]",1790,1163,304,323,2476,6.08940084551371,19.999461681685844,8.35688572391327,1.57015816921425,0.411731843575419,141,0.7771813490566628,530600.0
126,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 8]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1246,221,323,2768,6.268861714151618,19.987718879719942,6.912932071809538,1.5994466862139451,0.3893854748603352,209,0.8120823047169612,538400.0
142,"['B1, E1, G2, K3', 'C2, P1, G2, M2, A3']","[40, 8]","[3700.0, 50300.0]","[13.766519823788546, 279.8298634430266]","[12.620192307692307, 34.622613512711446]",1790,1280,187,323,2863,6.355981959468906,19.985680817896423,6.861124275904314,1.6020270478655747,0.3949720670391061,209,0.8122592693272119,550400.0
495,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 8]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1246,221,323,2768,5.900920689124021,19.987718879719942,6.912932071809538,1.5994466862139451,0.4279329608938547,209,0.8268703505757273,575400.0
156,"['B1, E1, G2, K3', 'C2, P2, G1, M2, A3']","[40, 8]","[3700.0, 53800]","[13.766519823788546, 527.4261603375528]","[12.620192307692307, 32.8484279680901]",1790,1324,143,323,3027,5.781455885562655,19.998584990940135,6.876318818756373,1.6003694619246838,0.4312849162011173,198,0.8283808466524022,578400.0
160,"['B1, E1, G2, K3', 'C2, P2, G1, M3, A3']","[40, 8]","[3700.0, 57650]","[13.766519823788546, 519.2107995846313]","[12.620192307692307, 40]",1790,1369,98,323,3158,5.534063637751382,19.998682072914704,6.506431392250115,1.6045347899116724,0.4569832402234637,223,0.8392689191273466,609200.0
524,"['B1, E1, G2, K3', 'C2, P2, G1, M2, A3']","[50, 8]","[3700.0, 53800]","[13.766519823788546, 527.4261603375528]","[12.620192307692307, 32.8484279680901]",1790,1324,143,323,3027,5.4351911444868355,19.998584990940135,6.876318818756375,1.6003694619246838,0.4698324022346368,198,0.8428654245358435,615400.0
127,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 10]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1414,53,323,3315,4.577076137518766,19.995499598120716,6.669030614354895,1.6055780800172976,0.4877094972067039,249,0.8559076078203602,636000.0
496,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 10]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1414,53,323,3315,4.252850877840983,19.995499598120716,6.669030614354895,1.6055780800172976,0.5262569832402234,249,0.8666792677376124,673000.0
839,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[60, 10]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1414,53,323,3315,4.251516371481826,19.995499598120716,6.669030614354895,1.6055780800172976,0.5262569832402234,249,0.8666839385098695,710000.0
5108,"['B3, E2, G2, K3', 'C2, P1, G1, M2, A3']","[40, 10]","[6100.0, 48800]","[28.89060092449923, 279.9552071668533]","[6.809338521400779, 34.63631865413162]",1790,1370,97,323,3259,3.3166301628546235,19.988371417392052,9.95414307662958,1.620306845408846,0.5491620111731843,264,0.8756822972233049,732000.0
128,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 12]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,2.6216630271777692,17.745496195551098,6.615923701847386,1.6241957324595857,0.5692737430167598,277,0.8831426151590678,733600.0
5112,"['B3, E2, G2, K3', 'C2, P1, G1, M3, A3']","[40, 10]","[6100.0, 52650]","[28.89060092449923, 275.33039647577095]","[6.809338521400779, 40]",1790,1400,67,323,3321,2.783825119614559,19.99402002868127,9.626167434853311,1.6138125930927003,0.5748603351955307,277,0.8839716958802317,770500.0
497,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 12]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,1.520348737196436,13.33962281869482,6.633082209358348,1.6241957324595857,0.6145251396648045,277,0.8983100643360136,770600.0
6148,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 10]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,1.1492474569161533,11.838976152358214,10.437336003347337,1.6241957324595857,0.6430167597765363,272,0.9067318238449276,776000.0
133,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[40, 12]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.616669465986103,7.458426987489624,6.346031164655185,1.6241957324595857,0.6608938547486034,294,0.9130651205561996,779800.0
6152,"['B3, E3, G2, K3', 'C2, P1, G1, M3, A3']","[40, 10]","[7200.0, 52650]","[57.12109672505713, 275.33039647577095]","[6.554307116104869, 40]",1790,1467,0,323,3489,0.3455818093478212,7.111874538460299,10.17708467403603,1.6241957324595857,0.7301675977653631,280,0.9313323631086234,814500.0
502,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[50, 12]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.277074306566147,6.044013236468402,6.395661277562445,1.6241957324595857,0.7379888268156425,298,0.9335274466309292,816800.0
129,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[40, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.2236981200162979,5.656713325416298,6.569753365772679,1.6241957324595857,0.7547486033519553,298,0.9379042074179316,831200.0
498,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.107301821482434,5.291376538824437,6.6289992585659725,1.6241957324595857,0.7854748603351955,298,0.9459931587086104,868200.0
6149,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 12]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,0.1034480091113334,5.293685792705034,10.387324496451976,1.6241957324595857,0.7899441340782123,292,0.9471239654876634,873600.0
841,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[60, 14]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.0976069940698228,5.291376538824437,6.633082209358349,1.6241957324595857,0.7910614525139665,298,0.9474237386492472,905200.0
6153,"['B3, E3, G2, K3', 'C2, P1, G1, M3, A3']","[40, 12]","[7200.0, 52650]","[57.12109672505713, 275.33039647577095]","[6.554307116104869, 40]",1790,1467,0,323,3489,0.0533587185743825,3.7243835901947975,10.191116684903523,1.6241957324595857,0.8,294,0.9498132444849896,919800.0
503,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[50, 14]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0409113188457664,3.257236616537611,6.390983216011639,1.6241957324595857,0.8050279329608938,300,0.9511137936242632,922100.0
845,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[60, 14]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0389992135061843,3.257236616537611,6.395661277562445,1.6241957324595857,0.8050279329608938,300,0.9511204859929516,959100.0
499,"['B1, E1, G2, K3', 'C2, P1, G1, M2, A3']","[50, 16]","[3700.0, 48800]","[13.766519823788546, 279.9552071668533]","[12.620192307692307, 34.63631865413162]",1790,1467,0,323,3489,0.0218566064996346,3.6708497392777777,6.6246126704019845,1.6241957324595857,0.8111731843575419,298,0.9527167979666368,965800.0
6150,"['B3, E3, G2, K3', 'C2, P1, G1, M2, A3']","[40, 14]","[7200.0, 48800]","[57.12109672505713, 279.9552071668533]","[6.554307116104869, 34.63631865413162]",1790,1467,0,323,3489,0.0210404967183875,3.6708497392777777,10.361729672775288,1.6241957324595857,0.8111731843575419,291,0.9527196543508712,971200.0
135,"['B1, E1, G2, K3', 'C2, P1, G1, M3, A3']","[40, 16]","[3700.0, 52650]","[13.766519823788546, 275.33039647577095]","[12.620192307692307, 40]",1790,1467,0,323,3489,0.0139593022731252,1.6291000324257965,6.298065126314256,1.6241957324595857,0.8162011173184358,300,0.954001421771653,990400.0
